Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Istanbul ,2020,Erkek,1026,5055,820,811,520,6306,1954,2621,14,310,1655,916
Istanbul ,2020,Kadın,26,123,6,16,32,487,131,20,25,12,9,25
Tekirdag,2020,Erkek,71,453,76,60,46,509,63,125,0,16,65,97
Tekirdag,2020,Kadın,3,7,0,2,1,23,10,1,0,1,0,2
Edirne,2020,Erkek,39,260,39,28,28,226,58,70,0,44,32,49
Edirne,2020,Kadın,0,7,0,1,2,11,8,0,0,0,1,1
Kirklareli ,2020,Erkek,22,221,36,21,16,193,39,34,2,10,19,56
Kirklareli ,2020,Kadın,1,3,0,1,0,14,2,1,0,0,0,1
Balikesir                  ,2020,Erkek,101,939,110,95,85,649,119,95,2,33,137,213
Balikesir                  ,2020,Kadın,3,29,1,4,5,73,14,0,0,3,0,6
Canakkale,2020,Erkek,30,271,23,28,35,245,21,55,0,13,29,87
Canakkale,2020,Kadın,2,5,0,1,1,21,4,1,0,0,1,4
İzmir ,2020,Erkek,357,2422,352,221,353,2804,577,1650,5,257,468,586
İzmir ,2020,Kadın,14,71,2,2,21,185,48,15,3,9,5,15
Aydin,2020,Erkek,110,909,102,82,116,835,141,412,3,50,134,235
Aydin,2020,Kadın,3,26,0,3,5,60,9,26,1,0,2,10
Denizli ,2020,Erkek,80,724,67,85,99,667,133,201,1,38,126,215
Denizli ,2020,Kadın,3,22,0,2,5,54,15,16,0,1,0,7
Mugla,2020,Erkek,100,668,69,75,91,437,177,106,2,59,81,190
Mugla,2020,Kadın,3,29,1,2,2,38,1,3,1,2,1,6
Manisa,2020,Erkek,168,1044,121,124,118,795,171,184,0,73,118,286
Manisa,2020,Kadın,6,28,1,1,4,33,12,3,1,1,0,13
Afyonkarahisar  ,2020,Erkek,95,463,47,49,40,310,73,58,2,21,38,135
Afyonkarahisar  ,2020,Kadın,2,17,0,1,0,23,9,5,1,2,1,5
Kutahya ,2020,Erkek,37,325,38,27,28,199,31,17,0,16,31,66
Kutahya ,2020,Kadın,2,13,0,0,2,19,2,0,0,2,1,2
Usak,2020,Erkek,39,271,31,31,35,135,66,49,0,21,40,62
Usak,2020,Kadın,0,10,0,0,1,17,10,0,0,0,0,1
Bursa,2020,Erkek,126,1455,188,158,151,1498,271,546,2,35,377,261
Bursa,2020,Kadın,3,47,0,8,10,121,54,16,2,1,6,13
Eskisehir                 ,2020,Erkek,56,539,42,29,48,345,59,55,0,12,81,82
Eskisehir                 ,2020,Kadın,2,13,0,0,4,61,15,3,1,1,1,4
Bilecik,2020,Erkek,11,108,22,21,8,81,12,13,1,8,13,23
Bilecik,2020,Kadın,0,9,0,0,7,10,0,2,0,1,0,0
Kocaeli ,2020,Erkek,89,723,125,121,86,729,311,124,0,41,175,153
Kocaeli ,2020,Kadın,4,21,0,4,4,70,9,3,0,2,0,3
Sakarya,2020,Erkek,85,552,72,88,67,472,83,149,1,48,171,128
Sakarya,2020,Kadın,3,7,2,6,1,47,5,0,3,2,1,7
Duzce,2020,Erkek,33,231,54,38,32,201,68,55,2,17,58,48
Duzce,2020,Kadın,0,3,0,1,1,7,2,3,0,0,1,1
Bolu,2020,Erkek,19,178,30,19,11,89,21,17,0,14,22,48
Bolu,2020,Kadın,1,5,0,0,1,9,3,0,0,0,0,0
Yalova,2020,Erkek,15,134,13,8,15,124,36,31,0,1,26,31
Yalova,2020,Kadın,0,1,0,0,0,13,4,0,0,0,0,0
Ankara ,2020,Erkek,278,2129,257,184,260,2169,692,315,3,87,446,358
Ankara ,2020,Kadın,8,46,3,5,19,147,42,13,3,2,4,18
Konya,2020,Erkek,199,1282,155,164,118,1153,302,361,1,71,226,342
Konya,2020,Kadın,8,39,0,4,8,63,41,18,0,4,3,15
Karaman,2020,Erkek,24,225,26,35,27,123,35,20,0,23,32,61
Karaman,2020,Kadın,1,4,1,3,1,7,0,0,0,0,0,2
Antalya,2020,Erkek,258,1882,236,221,218,2127,509,563,4,120,225,515
Antalya,2020,Kadın,8,59,2,12,12,173,48,32,2,3,2,25
Isparta,2020,Erkek,35,381,37,19,38,261,69,103,1,20,34,94
Isparta,2020,Kadın,2,15,1,2,1,19,6,11,0,0,1,9
Burdur,2020,Erkek,31,199,23,12,19,130,16,25,0,23,12,48
Burdur,2020,Kadın,3,9,0,2,0,6,1,1,0,0,0,1
Adana,2020,Erkek,247,1149,109,109,96,1384,657,292,11,162,335,269
Adana,2020,Kadın,5,18,0,6,8,52,21,12,5,6,5,12
Mersin,2020,Erkek,199,902,120,99,102,992,632,152,2,96,184,200
Mersin,2020,Kadın,4,24,0,5,9,67,21,7,2,5,5,9
Hatay,2020,Erkek,97,577,64,60,54,597,224,101,3,112,155,132
Hatay,2020,Kadın,3,13,1,0,1,28,18,3,0,6,1,4
Kahramanmaras,2020,Erkek,70,490,53,39,44,358,143,74,1,24,57,121
Kahramanmaras,2020,Kadın,0,10,1,2,1,22,12,2,0,0,0,8
Osmaniye,2020,Erkek,26,263,25,26,38,231,83,85,0,48,44,72
Osmaniye,2020,Kadın,0,15,0,1,1,18,5,0,0,5,0,1
Kirikkale,2020,Erkek,25,145,13,22,14,98,28,37,0,9,37,26
Kirikkale,2020,Kadın,0,5,0,0,1,21,2,1,0,1,0,1
Aksaray,2020,Erkek,33,270,29,35,32,176,57,106,0,46,36,97
Aksaray,2020,Kadın,2,9,1,2,0,15,5,2,0,2,0,3
Nigde,2020,Erkek,33,271,31,29,22,126,49,38,0,5,44,55
Nigde,2020,Kadın,0,10,0,2,4,8,0,2,0,0,1,3
Nevsehir,2020,Erkek,24,245,32,21,17,103,51,26,2,10,32,63
Nevsehir,2020,Kadın,0,7,2,1,0,17,3,0,0,0,1,1
Kirsehir,2020,Erkek,13,145,14,18,10,63,33,19,0,6,21,29
Kirsehir,2020,Kadın,0,3,0,1,0,10,2,0,0,0,0,1
Kayseri,2020,Erkek,99,994,99,150,92,891,245,134,0,31,259,212
Kayseri,2020,Kadın,4,38,0,11,9,111,21,7,1,0,2,7
Sivas,2020,Erkek,26,427,54,39,45,246,56,69,0,33,103,94
Sivas,2020,Kadın,1,7,0,3,2,14,1,0,0,0,2,1
Yozgat,2020,Erkek,18,211,28,27,24,124,23,23,0,28,22,65
Yozgat,2020,Kadın,0,6,0,2,0,11,1,3,0,0,0,1
Zonguldak,2020,Erkek,28,340,69,35,46,202,39,26,0,15,52,88
Zonguldak,2020,Kadın,1,4,0,0,1,18,2,0,1,1,0,9
Karabuk,2020,Erkek,2,137,16,20,16,72,25,7,0,6,17,43
Karabuk,2020,Kadın,0,8,0,1,1,7,0,0,0,0,0,2
Bartin,2020,Erkek,16,112,25,9,20,73,9,6,0,4,12,34
Bartin,2020,Kadın,1,5,0,0,0,6,0,0,0,0,0,2
Kastamonu,2020,Erkek,38,199,23,23,25,82,20,12,1,6,51,61
Kastamonu,2020,Kadın,1,14,0,0,1,5,1,0,0,0,1,1
Cankiri,2020,Erkek,11,63,7,16,11,33,9,9,0,2,15,17
Cankiri,2020,Kadın,0,1,0,0,0,1,0,0,0,0,0,1
Sinop,2020,Erkek,23,152,24,8,19,43,12,8,0,7,32,43
Sinop,2020,Kadın,1,4,0,1,3,2,0,0,0,0,0,1
Samsun,2020,Erkek,111,995,95,92,100,411,162,320,2,30,263,174
Samsun,2020,Kadın,2,30,0,6,7,54,5,2,1,0,2,13
Tokat,2020,Erkek,57,364,39,22,32,122,36,15,0,23,43,75
Tokat,2020,Kadın,2,6,0,0,0,10,1,1,0,1,0,3
Corum,2020,Erkek,45,329,41,30,28,159,23,10,1,13,52,95
Corum,2020,Kadın,0,11,0,0,0,21,0,0,0,0,1,5
Amasya,2020,Erkek,27,247,32,14,24,89,20,28,0,16,31,61
Amasya,2020,Kadın,0,3,0,0,2,4,0,0,1,0,2,1
Trabzon,2020,Erkek,42,374,56,40,35,239,83,77,0,40,119,97
Trabzon,2020,Kadın,0,12,0,0,1,15,4,0,2,3,2,4
Ordu,2020,Erkek,48,485,54,56,31,158,40,50,0,22,58,98
Ordu,2020,Kadın,3,13,0,6,2,17,3,0,1,2,2,7
Giresun,2020,Erkek,23,274,38,31,31,104,18,29,0,11,53,76
Giresun,2020,Kadın,1,6,0,1,1,4,2,0,1,0,2,2
Rize,2020,Erkek,23,179,27,14,35,98,49,62,0,30,78,63
Rize,2020,Kadın,0,3,0,1,1,6,0,0,0,3,1,1
Artvin,2020,Erkek,10,65,9,11,12,61,25,9,0,40,17,16
Artvin,2020,Kadın,1,1,0,0,0,0,1,0,0,3,0,1
Gumushane,2020,Erkek,20,59,5,9,4,22,8,5,0,3,9,19
Gumushane,2020,Kadın,0,2,0,0,1,1,0,0,0,0,0,1
Erzurum,2020,Erkek,49,313,28,33,32,167,102,36,0,51,69,49
Erzurum,2020,Kadın,1,4,0,0,0,6,1,0,0,0,0,1
Erzincan,2020,Erkek,10,68,15,5,18,65,44,12,0,10,4,25
Erzincan,2020,Kadın,2,4,0,0,0,4,0,0,3,0,0,1
Bayburt ,2020,Erkek,3,25,6,1,2,18,7,1,0,0,10,3
Bayburt ,2020,Kadın,0,0,0,0,1,1,2,0,0,0,0,0
Ağri,2020,Erkek,67,166,18,23,11,127,99,13,1,57,31,43
Ağri,2020,Kadın,0,2,0,1,0,4,6,2,0,0,0,0
Kars,2020,Erkek,33,144,8,10,9,57,12,5,0,8,48,40
Kars,2020,Kadın,0,2,1,2,0,5,0,0,0,0,0,0
Igdir,2020,Erkek,19,140,8,28,14,66,26,6,0,14,20,27
Igdir,2020,Kadın,1,1,0,2,0,2,2,1,0,0,0,1
Ardahan,2020,Erkek,6,61,3,13,6,27,2,1,0,4,8,15
Ardahan,2020,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Malatya,2020,Erkek,51,340,25,58,24,233,107,75,1,24,125,57
Malatya,2020,Kadın,0,10,0,1,3,10,4,0,0,0,2,0
Elazig,2020,Erkek,42,305,25,20,19,263,100,157,0,15,73,74
Elazig,2020,Kadın,2,8,0,4,2,8,3,3,0,0,0,3
Bingol,2020,Erkek,7,93,16,29,6,60,61,25,3,13,11,15
Bingol,2020,Kadın,0,2,0,0,0,5,3,0,0,0,0,0
Tunceli,2020,Erkek,6,35,2,6,3,16,8,3,0,2,2,16
Tunceli,2020,Kadın,0,0,0,1,0,1,0,0,0,0,1,1
Van,2020,Erkek,61,245,39,32,16,386,264,57,0,147,91,57
Van,2020,Kadın,0,3,0,3,1,10,8,1,0,0,1,1
Mus,2020,Erkek,28,78,13,9,8,126,21,18,1,14,37,33
Mus,2020,Kadın,0,0,1,0,0,6,1,0,0,1,0,0
Bitlis,2020,Erkek,19,63,3,10,5,110,51,29,0,17,15,24
Bitlis,2020,Kadın,0,0,0,0,0,2,4,0,0,0,0,0
Hakkari,2020,Erkek,7,31,5,13,1,27,88,3,0,46,22,10
Hakkari,2020,Kadın,2,0,0,0,0,2,3,0,0,1,1,0
Gaziantep,2020,Erkek,152,921,53,89,47,1376,346,150,1,119,437,165
Gaziantep,2020,Kadın,7,14,0,2,1,47,9,3,0,0,4,1
Adiyaman,2020,Erkek,26,123,16,11,11,137,67,55,0,4,35,40
Adiyaman,2020,Kadın,0,0,0,1,0,12,2,0,0,0,0,0
Kilis,2020,Erkek,17,60,4,5,14,91,42,21,0,46,19,8
Kilis,2020,Kadın,0,0,0,1,0,5,0,0,0,0,0,0
Sanliurfa,2020,Erkek,109,531,28,72,32,745,437,227,1,93,183,99
Sanliurfa,2020,Kadın,2,9,0,3,2,32,7,3,0,1,2,1
Diyarbakır,2020,Erkek,147,611,49,64,33,674,502,205,0,75,181,93
Diyarbakır,2020,Kadın,1,9,2,4,2,19,16,0,0,2,2,1
Mardin,2020,Erkek,41,241,17,31,5,281,78,69,2,43,56,52
Mardin,2020,Kadın,2,3,0,1,1,12,0,1,0,1,0,1
Batman,2020,Erkek,24,157,18,30,17,245,71,26,0,25,84,39
Batman,2020,Kadın,0,2,0,3,0,29,1,0,0,0,2,0
Sirnak,2020,Erkek,11,59,7,19,5,98,16,33,0,120,25,18
Sirnak,2020,Kadın,0,1,0,0,1,3,0,0,0,0,0,1
Siirt,2020,Erkek,12,95,10,9,6,106,14,15,2,11,26,19
Siirt,2020,Kadın,1,2,0,5,1,3,0,0,0,0,0,0
Istanbul ,2019,Erkek,1605,4969,948,479,420,6952,3067,3185,13,782,1516,1429
Istanbul ,2019,Kadın,43,115,4,18,25,522,137,33,29,52,10,33
Tekirdag,2019,Erkek,78,412,79,40,48,550,142,193,2,41,70,160
Tekirdag,2019,Kadın,3,10,0,0,0,29,16,2,0,2,0,1
Edirne,2019,Erkek,54,205,36,23,30,248,86,109,0,74,34,95
Edirne,2019,Kadın,2,5,0,0,0,17,6,0,0,3,1,1
Kirklareli ,2019,Erkek,44,167,32,11,12,208,73,52,0,22,18,59
Kirklareli ,2019,Kadın,1,7,0,0,0,16,7,0,0,0,0,3
Balikesir                  ,2019,Erkek,217,764,118,83,78,703,231,89,2,44,156,343
Balikesir                  ,2019,Kadın,6,28,2,7,6,54,17,3,0,8,3,6
Canakkale,2019,Erkek,59,245,62,31,47,243,54,78,1,28,29,120
Canakkale,2019,Kadın,0,5,0,0,4,11,5,2,0,1,0,5
İzmir ,2019,Erkek,551,2322,328,149,342,2758,973,1639,8,433,407,1026
İzmir ,2019,Kadın,20,64,7,3,19,193,46,21,0,16,7,35
Aydin,2019,Erkek,186,745,115,70,100,845,282,335,1,77,113,384
Aydin,2019,Kadın,3,26,0,0,6,40,14,21,0,2,1,10
Denizli ,2019,Erkek,133,528,97,63,102,737,196,150,1,78,101,319
Denizli ,2019,Kadın,4,20,1,6,7,55,25,12,0,1,1,9
Mugla,2019,Erkek,182,624,99,46,98,476,242,68,0,64,59,281
Mugla,2019,Kadın,1,26,1,3,9,32,8,2,0,8,1,7
Manisa,2019,Erkek,243,858,146,59,113,799,309,166,1,89,99,419
Manisa,2019,Kadın,10,27,1,2,6,48,19,2,2,5,0,14
Afyonkarahisar  ,2019,Erkek,138,439,65,46,52,383,110,47,1,45,29,253
Afyonkarahisar  ,2019,Kadın,4,9,0,1,6,30,8,3,0,3,0,11
Kutahya ,2019,Erkek,62,265,50,20,33,199,55,19,0,31,15,120
Kutahya ,2019,Kadın,2,16,1,1,1,14,5,0,0,1,0,3
Usak,2019,Erkek,50,226,31,26,28,137,107,32,0,24,30,106
Usak,2019,Kadın,2,8,1,0,4,19,9,0,0,0,1,3
Bursa,2019,Erkek,251,1340,232,106,171,1463,552,453,3,121,358,480
Bursa,2019,Kadın,3,34,0,5,16,125,108,10,0,5,7,13
Eskisehir                 ,2019,Erkek,108,419,76,31,43,440,134,108,1,36,45,155
Eskisehir                 ,2019,Kadın,4,12,0,3,6,37,12,3,0,0,0,5
Bilecik,2019,Erkek,19,95,19,9,12,112,23,18,2,20,12,50
Bilecik,2019,Kadın,1,3,0,2,0,7,0,0,0,3,0,3
Kocaeli ,2019,Erkek,214,646,178,80,78,845,498,139,2,103,135,290
Kocaeli ,2019,Kadın,1,20,1,3,6,86,21,0,0,2,0,13
Sakarya,2019,Erkek,137,479,125,100,61,526,156,246,1,72,186,286
Sakarya,2019,Kadın,4,10,0,1,3,45,4,5,0,5,2,11
Duzce,2019,Erkek,55,176,36,35,25,224,102,59,0,43,24,107
Duzce,2019,Kadın,2,3,1,2,3,9,2,1,0,2,0,3
Bolu,2019,Erkek,19,169,31,16,32,107,35,22,0,37,21,64
Bolu,2019,Kadın,1,10,0,0,1,12,1,0,0,3,0,1
Yalova,2019,Erkek,31,90,18,6,9,126,70,33,0,3,24,51
Yalova,2019,Kadın,1,4,0,0,1,20,9,2,0,0,1,1
Ankara ,2019,Erkek,422,1553,276,130,167,2621,1060,404,3,236,230,643
Ankara ,2019,Kadın,9,53,3,5,14,155,67,14,2,2,1,18
Konya,2019,Erkek,244,1197,177,89,138,1322,541,405,5,163,162,520
Konya,2019,Kadın,6,27,0,2,11,57,49,25,0,5,2,15
Karaman,2019,Erkek,43,204,33,15,32,182,49,28,1,23,27,118
Karaman,2019,Kadın,0,2,0,0,1,5,3,0,0,0,0,3
Antalya,2019,Erkek,337,1546,226,150,205,2282,793,376,2,224,195,731
Antalya,2019,Kadın,10,59,2,8,18,132,71,19,2,9,3,21
Isparta,2019,Erkek,62,315,41,20,41,290,131,108,0,25,35,166
Isparta,2019,Kadın,2,14,1,1,8,22,19,22,0,1,1,4
Burdur,2019,Erkek,38,166,23,17,46,145,26,13,0,22,14,125
Burdur,2019,Kadın,2,14,0,1,3,14,1,1,0,0,1,5
Adana,2019,Erkek,412,1049,152,75,134,1550,1460,290,4,477,268,507
Adana,2019,Kadın,6,22,1,3,3,69,38,15,5,10,1,11
Mersin,2019,Erkek,243,774,154,64,116,1129,809,152,1,226,103,291
Mersin,2019,Kadın,6,16,0,2,8,99,38,13,1,8,2,12
Hatay,2019,Erkek,140,603,87,49,61,696,362,90,0,360,95,206
Hatay,2019,Kadın,1,10,1,2,1,39,15,3,0,4,0,2
Kahramanmaras,2019,Erkek,129,411,88,30,29,414,175,48,0,97,42,170
Kahramanmaras,2019,Kadın,0,8,0,0,1,23,4,1,0,1,0,5
Osmaniye,2019,Erkek,83,220,34,21,28,295,146,80,1,60,40,126
Osmaniye,2019,Kadın,1,10,0,0,0,23,8,3,0,0,0,2
Kirikkale,2019,Erkek,30,115,26,19,15,123,76,34,0,22,19,45
Kirikkale,2019,Kadın,2,1,0,4,2,14,3,1,0,1,1,1
Aksaray,2019,Erkek,43,220,21,25,36,198,90,89,0,60,28,118
Aksaray,2019,Kadın,1,9,0,1,1,17,1,2,0,1,0,4
Nigde,2019,Erkek,27,229,27,9,36,139,60,30,0,16,38,57
Nigde,2019,Kadın,1,9,0,0,2,8,8,3,0,4,0,1
Nevsehir,2019,Erkek,48,131,46,11,21,122,102,27,1,17,15,86
Nevsehir,2019,Kadın,1,7,1,0,1,13,1,0,0,0,1,2
Kirsehir,2019,Erkek,22,84,13,15,14,82,72,10,1,28,10,47
Kirsehir,2019,Kadın,1,5,0,0,0,4,1,0,0,0,0,3
Kayseri,2019,Erkek,167,696,155,71,80,761,410,133,3,92,107,273
Kayseri,2019,Kadın,1,28,0,3,9,112,29,6,2,1,5,8
Sivas,2019,Erkek,54,355,46,25,37,214,76,58,1,60,51,114
Sivas,2019,Kadın,0,9,0,0,4,17,5,2,0,2,1,5
Yozgat,2019,Erkek,37,117,32,16,13,102,47,18,0,22,14,77
Yozgat,2019,Kadın,1,4,0,0,0,8,0,1,0,0,0,1
Zonguldak,2019,Erkek,44,284,57,31,30,221,74,40,0,11,43,151
Zonguldak,2019,Kadın,3,16,1,0,3,23,1,0,1,0,1,12
Karabuk,2019,Erkek,30,112,28,13,28,91,25,7,0,11,12,59
Karabuk,2019,Kadın,0,8,0,0,2,4,1,0,0,0,0,6
Bartin,2019,Erkek,15,87,27,10,16,38,15,1,1,10,7,48
Bartin,2019,Kadın,1,4,0,0,1,5,0,0,0,0,0,2
Kastamonu,2019,Erkek,41,194,28,17,29,90,22,21,2,14,25,71
Kastamonu,2019,Kadın,2,6,0,0,2,9,0,0,0,0,0,6
Cankiri,2019,Erkek,15,59,9,14,9,57,13,5,0,6,3,19
Cankiri,2019,Kadın,0,2,0,0,0,2,0,0,1,0,0,2
Sinop,2019,Erkek,26,107,29,17,16,77,23,10,0,8,24,71
Sinop,2019,Kadın,2,1,0,1,1,3,0,0,0,0,0,2
Samsun,2019,Erkek,164,756,143,81,89,568,222,443,1,96,216,312
Samsun,2019,Kadın,4,22,0,3,2,67,7,7,1,2,4,10
Tokat,2019,Erkek,52,241,39,26,38,152,43,21,1,36,35,102
Tokat,2019,Kadın,2,6,0,1,0,7,0,0,0,2,1,2
Corum,2019,Erkek,98,244,47,19,18,170,52,18,0,31,36,155
Corum,2019,Kadın,1,9,2,1,1,30,2,0,0,0,0,3
Amasya,2019,Erkek,43,200,31,22,22,133,43,29,0,18,22,106
Amasya,2019,Kadın,3,5,0,1,0,7,2,0,0,0,1,2
Trabzon,2019,Erkek,63,303,51,20,30,238,76,89,1,69,85,97
Trabzon,2019,Kadın,1,4,0,2,2,10,3,1,0,6,1,2
Ordu,2019,Erkek,81,399,94,45,60,260,77,65,0,37,50,170
Ordu,2019,Kadın,2,16,1,2,2,15,2,2,0,1,0,5
Giresun,2019,Erkek,41,201,49,29,41,103,33,32,4,20,44,100
Giresun,2019,Kadın,4,8,0,1,0,11,1,0,2,0,1,1
Rize,2019,Erkek,44,137,30,7,25,100,56,59,0,73,65,78
Rize,2019,Kadın,0,6,0,2,0,8,1,1,0,3,2,2
Artvin,2019,Erkek,10,46,15,4,13,46,4,3,0,80,7,19
Artvin,2019,Kadın,0,2,0,1,0,2,0,0,0,2,0,1
Gumushane,2019,Erkek,8,35,9,6,4,31,19,0,0,9,1,19
Gumushane,2019,Kadın,0,0,0,0,0,2,0,0,0,0,0,1
Erzurum,2019,Erkek,89,260,37,21,29,274,122,34,1,107,64,97
Erzurum,2019,Kadın,0,4,1,0,0,6,3,0,1,0,0,2
Erzincan,2019,Erkek,17,88,12,6,11,114,55,8,1,38,4,32
Erzincan,2019,Kadın,1,1,0,0,1,10,6,0,0,3,0,0
Bayburt ,2019,Erkek,10,34,7,4,1,13,7,5,0,1,2,13
Bayburt ,2019,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Ağri,2019,Erkek,91,134,24,14,14,150,96,20,1,226,28,61
Ağri,2019,Kadın,1,3,0,1,1,7,7,0,0,3,1,2
Kars,2019,Erkek,54,161,15,13,15,77,38,15,1,20,33,51
Kars,2019,Kadın,2,6,4,3,3,9,3,0,0,1,1,0
Igdir,2019,Erkek,34,117,12,10,7,95,20,19,1,56,24,45
Igdir,2019,Kadın,1,2,0,0,0,7,0,0,0,0,0,0
Ardahan,2019,Erkek,13,58,7,10,6,36,5,2,0,12,8,17
Ardahan,2019,Kadın,0,1,0,0,0,1,1,0,0,0,0,0
Malatya,2019,Erkek,101,288,31,15,25,279,189,74,0,47,76,72
Malatya,2019,Kadın,0,3,0,0,0,15,4,0,0,0,1,4
Elazig,2019,Erkek,72,239,27,14,15,236,187,91,1,54,39,86
Elazig,2019,Kadın,2,6,0,0,0,17,3,1,2,0,1,6
Bingol,2019,Erkek,12,51,5,10,14,79,85,9,0,18,12,16
Bingol,2019,Kadın,1,1,0,0,0,2,5,0,0,1,0,0
Tunceli,2019,Erkek,11,46,2,6,2,15,10,8,1,3,5,6
Tunceli,2019,Kadın,1,0,0,0,0,1,0,0,0,1,0,2
Van,2019,Erkek,69,226,24,17,25,329,264,23,0,285,65,59
Van,2019,Kadın,0,4,0,0,0,9,7,0,0,1,0,0
Mus,2019,Erkek,43,55,13,3,7,105,73,19,0,34,26,32
Mus,2019,Kadın,3,1,0,0,1,3,1,0,0,0,1,0
Bitlis,2019,Erkek,32,116,10,4,4,126,76,44,0,72,17,31
Bitlis,2019,Kadın,0,2,0,0,0,3,5,0,0,1,1,1
Hakkari,2019,Erkek,21,22,4,1,2,28,73,8,0,62,11,2
Hakkari,2019,Kadın,1,0,0,0,0,1,3,0,0,0,0,0
Gaziantep,2019,Erkek,285,980,74,56,57,1506,614,160,0,402,416,254
Gaziantep,2019,Kadın,7,16,0,3,0,49,10,1,0,4,13,5
Adiyaman,2019,Erkek,50,136,30,3,15,176,130,65,0,27,35,52
Adiyaman,2019,Kadın,0,3,0,2,0,13,1,4,0,0,0,0
